"ValPrecipitacao","ValMareMaxima","ValTemperaturaMaxima","ValHouveEnchente"
68.00,1.80,33,1
43.00,1.70,37,1
139.00,1.70,27,1
65.00,1.30,24,1
91.00,1.20,26,1
7.37,1.20,32,0
0.23,1.20,32,0
0.23,1.20,28,0
5.49,1.30,24,0
9.83,1.50,24,0
0.91,1.70,32,0
2.74,1.70,29,0
142.50,1.50,33,0
73.00,1.80,24,1
68.00,1.30,26,1
167.00,1.70,32,0
167.00,1.70,27,1
400.00,1.50,29,1
62.00,1.40,31,1
80.00,1.30,25,1
7.09,1.60,21,0
14.71,1.60,20,0
0.23,1.50,19,0
2.74,1.40,24,0
0.91,1.50,24,0
11.43,1.70,23,0
0.91,1.70,24,0
1.14,1.80,22,0
34.01,1.40,22,0
0.23,1.30,19,0
92.60,1.30,23,0
11.20,1.30,20,0
0.46,1.50,20,0
0.23,1.60,24,0
3.20,1.60,22,0
89.8,1.3,20.6,1
247.3,1.3,20,1
66.4,1.6,30.4,1
94,1.6,24,1
48.5,1.3,32.2,1
54.4,1.4,27.1,1
110,1.1,28.8,1
104.2,1.6,20,1
67,1.7,29,1
107.3,1.3,20,1